epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,847.239,0.78488,0.57723,1.13321,0.95185,0.96407,0.97975,0.76013,0.92987,0.46182,1.22528,6.4375e-05,6.4375e-05,6.4375e-05
98,856.008,0.77811,0.57059,1.12797,0.97237,0.94645,0.98435,0.76955,0.88664,0.45222,1.20114,6.24414e-05,6.24414e-05,6.24414e-05
99,864.789,0.78136,0.56777,1.12938,0.94216,0.97342,0.98324,0.75707,0.93184,0.45555,1.22976,6.05078e-05,6.05078e-05,6.05078e-05
100,873.509,0.7734,0.56622,1.12062,0.94739,0.96776,0.98561,0.77037,0.90121,0.44527,1.2073,5.85742e-05,5.85742e-05,5.85742e-05
101,882.241,0.77224,0.55957,1.12174,0.97132,0.95705,0.98587,0.76835,0.91509,0.44678,1.22445,5.66406e-05,5.66406e-05,5.66406e-05
102,890.951,0.77448,0.56117,1.12316,0.96631,0.955,0.98569,0.77473,0.88099,0.44189,1.19405,5.4707e-05,5.4707e-05,5.4707e-05
103,899.666,0.76337,0.55564,1.11835,0.96552,0.95496,0.98442,0.76712,0.88347,0.43678,1.19567,5.27734e-05,5.27734e-05,5.27734e-05
104,908.544,0.77157,0.55755,1.12095,0.96989,0.9533,0.98561,0.77606,0.86672,0.43206,1.17954,5.08398e-05,5.08398e-05,5.08398e-05
105,917.336,0.76095,0.56027,1.11639,0.95817,0.96205,0.98571,0.76254,0.90862,0.43978,1.21689,4.89062e-05,4.89062e-05,4.89062e-05
106,926.144,0.76718,0.56271,1.11877,0.95632,0.96094,0.98415,0.77854,0.86987,0.43653,1.18391,4.69727e-05,4.69727e-05,4.69727e-05
107,934.897,0.75662,0.55514,1.10833,0.94491,0.97656,0.98462,0.7744,0.88026,0.43537,1.19757,4.50391e-05,4.50391e-05,4.50391e-05
108,943.63,0.75206,0.55027,1.11171,0.95403,0.97276,0.9852,0.77803,0.86976,0.43493,1.18445,4.31055e-05,4.31055e-05,4.31055e-05
109,952.404,0.75381,0.54539,1.10925,0.95666,0.97075,0.98625,0.76543,0.90204,0.43732,1.20863,4.11719e-05,4.11719e-05,4.11719e-05
110,961.132,0.75941,0.55066,1.1092,0.95953,0.96623,0.98696,0.77527,0.87303,0.43241,1.1842,3.92383e-05,3.92383e-05,3.92383e-05
111,969.864,0.74916,0.54678,1.11161,0.96529,0.95619,0.98554,0.77042,0.88444,0.43406,1.19938,3.73047e-05,3.73047e-05,3.73047e-05
112,978.608,0.74144,0.54183,1.10615,0.96643,0.96177,0.98696,0.77271,0.88898,0.43201,1.20145,3.53711e-05,3.53711e-05,3.53711e-05
113,987.393,0.74889,0.54279,1.11013,0.96131,0.968,0.98668,0.77635,0.86958,0.42951,1.18242,3.34375e-05,3.34375e-05,3.34375e-05
114,996.154,0.74117,0.53426,1.10421,0.96247,0.96739,0.98658,0.77643,0.86937,0.42983,1.18399,3.15039e-05,3.15039e-05,3.15039e-05
115,1004.89,0.7387,0.53004,1.09925,0.96283,0.96316,0.98688,0.7796,0.85959,0.4261,1.17605,2.95703e-05,2.95703e-05,2.95703e-05
116,1013.64,0.73575,0.53316,1.10186,0.96901,0.95385,0.98635,0.7711,0.88867,0.43352,1.20181,2.76367e-05,2.76367e-05,2.76367e-05
117,1022.58,0.73801,0.53533,1.10303,0.95437,0.97011,0.98672,0.77739,0.85477,0.42147,1.17318,2.57031e-05,2.57031e-05,2.57031e-05
118,1031.7,0.73822,0.53622,1.09751,0.96143,0.96309,0.98634,0.77716,0.8684,0.42432,1.18683,2.37695e-05,2.37695e-05,2.37695e-05
119,1041.26,0.68174,0.42559,1.09372,0.94405,0.97515,0.9745,0.75909,0.87165,0.43171,1.19317,2.18359e-05,2.18359e-05,2.18359e-05
120,1049.93,0.64418,0.389,1.06294,0.93913,0.97928,0.97834,0.7682,0.86592,0.42698,1.18475,1.99023e-05,1.99023e-05,1.99023e-05
121,1058.82,0.63986,0.38668,1.06276,0.95341,0.96348,0.98525,0.76892,0.87338,0.42272,1.18904,1.79687e-05,1.79687e-05,1.79687e-05
122,1067.73,0.63064,0.37968,1.05198,0.95294,0.96394,0.98577,0.7679,0.87299,0.42224,1.18494,1.60352e-05,1.60352e-05,1.60352e-05
123,1076.8,0.62655,0.37717,1.05687,0.96801,0.95037,0.98472,0.768,0.88423,0.42402,1.19354,1.41016e-05,1.41016e-05,1.41016e-05
124,1085.85,0.62354,0.36935,1.04701,0.97339,0.95063,0.98508,0.77272,0.87368,0.42181,1.18977,1.2168e-05,1.2168e-05,1.2168e-05
125,1094.85,0.61426,0.37184,1.04124,0.97107,0.95522,0.98527,0.77076,0.87121,0.42027,1.18668,1.02344e-05,1.02344e-05,1.02344e-05
126,1103.78,0.60388,0.36664,1.03984,0.96697,0.95432,0.98511,0.77024,0.8706,0.4198,1.18746,8.30078e-06,8.30078e-06,8.30078e-06
127,1112.49,0.608,0.36522,1.03788,0.96582,0.95569,0.98566,0.77068,0.87537,0.42067,1.1886,6.36719e-06,6.36719e-06,6.36719e-06
128,1121.15,0.60707,0.36831,1.04651,0.96777,0.95449,0.98593,0.77376,0.87262,0.4205,1.18661,4.43359e-06,4.43359e-06,4.43359e-06
