epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,6949.9,0.52119,0.33044,1.00636,0.97195,0.98012,0.98873,0.86093,0.61373,0.26083,1.06062,0.0099999,0.0099999,0.0099999
104,7021.65,0.51801,0.32805,1.00563,0.9719,0.97995,0.98769,0.85968,0.61273,0.2605,1.0618,0.0099999,0.0099999,0.0099999
105,7093.99,0.5176,0.32683,1.0005,0.97133,0.98157,0.98737,0.86136,0.61368,0.25928,1.06118,0.0099999,0.0099999,0.0099999
106,7163.99,0.52049,0.32993,1.00392,0.97109,0.98093,0.98696,0.8629,0.6138,0.2628,1.06058,0.0099999,0.0099999,0.0099999
107,7234.73,0.51705,0.32708,0.99823,0.97142,0.98008,0.98689,0.86392,0.61199,0.26021,1.05596,0.0099999,0.0099999,0.0099999
108,7305.79,0.51236,0.32319,1.00304,0.97193,0.97952,0.98628,0.86388,0.60964,0.25879,1.05371,0.00999989,0.00999989,0.00999989
109,7376.39,0.51381,0.325,1.00117,0.97324,0.97921,0.98575,0.86361,0.60764,0.25809,1.05269,0.00999989,0.00999989,0.00999989
110,7444.86,0.51418,0.32581,1.00114,0.97332,0.97998,0.98649,0.8645,0.60826,0.25841,1.05275,0.00999989,0.00999989,0.00999989
111,7513.69,0.51363,0.32745,1.00053,0.97511,0.98061,0.98626,0.86526,0.60843,0.25696,1.05232,0.00999989,0.00999989,0.00999989
112,7583.58,0.51132,0.32298,0.9997,0.9759,0.98093,0.98548,0.86341,0.60835,0.25777,1.05141,0.00999989,0.00999989,0.00999989
113,7653.94,0.50737,0.31845,0.99907,0.97695,0.97997,0.9863,0.86271,0.60855,0.25799,1.05235,0.00999989,0.00999989,0.00999989
114,7724.58,0.5099,0.32112,0.99824,0.97588,0.97945,0.98661,0.86306,0.60748,0.25846,1.05256,0.00999989,0.00999989,0.00999989
115,7794.47,0.50914,0.32014,0.99673,0.97617,0.97913,0.98669,0.86333,0.60546,0.25865,1.05085,0.00999989,0.00999989,0.00999989
116,7864.31,0.50719,0.32212,1.00145,0.97646,0.97888,0.98679,0.86289,0.60595,0.25886,1.05333,0.00999989,0.00999989,0.00999989
117,7934.05,0.50445,0.31886,1.00033,0.97619,0.9794,0.98695,0.86452,0.60627,0.25824,1.05618,0.00999989,0.00999989,0.00999989
118,8004.35,0.50044,0.31951,0.99071,0.97627,0.97923,0.9871,0.8647,0.60709,0.25722,1.05786,0.00999988,0.00999988,0.00999988
119,8076.07,0.5048,0.3226,1.00011,0.97563,0.97902,0.98852,0.86606,0.60795,0.25739,1.06024,0.00999988,0.00999988,0.00999988
120,8146.08,0.50654,0.32244,0.99568,0.97706,0.97994,0.98887,0.86612,0.60795,0.25658,1.06242,0.00999988,0.00999988,0.00999988
121,8215.97,0.50216,0.31791,0.99873,0.97781,0.97998,0.98897,0.86591,0.60875,0.25724,1.06521,0.00999988,0.00999988,0.00999988
122,8285.86,0.50516,0.3189,0.99601,0.97816,0.97988,0.98897,0.86612,0.60959,0.25703,1.06615,0.00999988,0.00999988,0.00999988
123,8357.79,0.50158,0.3165,0.99381,0.9788,0.98007,0.98855,0.86629,0.6098,0.2567,1.06552,0.00999988,0.00999988,0.00999988
124,8428.41,0.49942,0.31632,0.99645,0.97881,0.98067,0.98878,0.86483,0.60926,0.25649,1.06457,0.00999988,0.00999988,0.00999988
